y_hat_mean,lower,upper,y_true,model,log,resid_sq,resid,n_warnings
29.18812083917366,21.847997176194596,36.73058336278539,25.48898699075196,b_info_prior_norm,NA,13.683591228539129,3.699133848421699,0
29.182920005330768,24.056973159013843,34.28169625185343,25.48898699075196,b_flat_prior,NA,13.645141116195273,3.693933014578807,4
29.38625890030919,21.839973631162692,36.95075504653479,25.48898699075196,b_restrictive_prior,NA,15.188728337023882,3.897271909557233,0
29.14109422307988,24.41068138508925,34.14006497888543,25.48898699075196,b_info_prior_gam,NA,13.33788723642191,3.652107232327922,3
29.052757823704844,0,0,25.48898699075196,f,NA,12.700462549805687,3.563770832952883,0
27.63148604562846,20.103003048652074,35.32130473929831,25.48898699075196,b_info_prior_norm,NA,4.590302200146691,2.142499054876499,0
27.019696479863335,19.872459800334468,34.41604110747045,25.48898699075196,b_flat_prior,NA,2.343071540055602,1.5307094891113735,0
28.006743876865013,20.086972595113693,36.26861635092409,25.48898699075196,b_restrictive_prior,NA,6.339099737569691,2.5177568861130517,0
27.049793407516415,19.673047326525257,35.43109245161996,25.48898699075196,b_info_prior_gam,NA,2.436116670613104,1.560806416764457,0
26.9770873578445,0,0,25.48898699075196,f,NA,2.2144427025409485,1.4881003670925388,0
23.019097226274972,16.393699916071913,30.246704732837163,25.48898699075196,b_info_prior_norm,NA,6.100355448668195,-2.4698897644769886,0
22.86060670373464,16.873912862605888,28.880105355363153,25.48898699075196,b_flat_prior,NA,6.908382933181259,-2.628380287017322,4
21.83869994277524,14.87027912307714,29.459936580294382,25.48898699075196,b_restrictive_prior,NA,13.32459553262661,-3.6502870479767218,0
23.50296721762065,17.755029425547836,29.719465078686376,25.48898699075196,b_info_prior_gam,NA,3.9442745392685423,-1.9860197731313107,2
22.879222886287177,0,0,25.48898699075196,f,NA,6.810868680952893,-2.6097641044647872,0
27.226696491914417,20.215429185610184,34.30619348656345,25.48898699075196,b_info_prior_norm,NA,3.0196343104302596,1.7377095011624526,0
25.35710873413178,20.25288867706488,30.993221138224623,25.48898699075196,b_flat_prior,NA,0.01739187456917797,-0.1318782566201797,4
26.83946184889917,19.45358097680181,34.478525409764636,25.48898699075196,b_restrictive_prior,NA,1.8237823424877135,1.350474858147205,0
25.727592256986128,20.86195323453311,31.612023642015487,25.48898699075196,b_info_prior_gam,NA,0.05693247307467766,0.2386052662341669,4
24.812840409721822,0,0,25.48898699075196,f,NA,0.4571741990387413,-0.6761465810301353,0
26.41473757290134,19.33079986199651,34.05403439679097,25.48898699075196,b_info_prior_norm,NA,0.8570141403499162,0.92575058214938,6
24.851479274593707,19.37087278915252,30.799624952050433,25.48898699075196,b_flat_prior,NA,0.4064160881613127,-0.6375077161582539,9
25.854688550713018,18.12275690867929,34.20129126727718,25.48898699075196,b_restrictive_prior,NA,0.13373763095795033,0.3657015599610567,0
24.855544982833884,19.774902126950742,31.320495897725756,25.48898699075196,b_info_prior_gam,NA,0.4012487773952856,-0.6334420079180774,11
23.914921966969832,0,0,25.48898699075196,f,NA,2.477680699094235,-1.5740650237821292,0
25.711541721535266,17.950040645578117,33.61598337801047,25.48898699075196,b_info_prior_norm,NA,0.04953060819402764,0.22255473078330112,0
25.00007930828352,18.316780251410027,31.78133336261709,25.48898699075196,b_flat_prior,NA,0.23903072197666111,-0.4889076824684402,2
25.183569466570383,17.343214364787638,33.35446861757293,25.48898699075196,b_restrictive_prior,NA,0.09327986407720504,-0.3054175241815784,0
25.240467483531003,18.612191647105504,32.55964691876412,25.48898699075196,b_info_prior_gam,NA,0.06176194546934804,-0.2485195072209585,0
25.146966320074036,0,0,25.48898699075196,f,NA,0.11697813917097792,-0.3420206706779254,0
25.935455429103133,18.90634607341452,33.352210980732465,25.48898699075196,b_info_prior_norm,NA,0.19933406644373397,0.44646843835117167,0
25.669423670422265,19.685534812755563,31.55206834402797,25.48898699075196,b_flat_prior,NA,0.032557395370444,0.1804366796703043,3
24.887246322111228,17.662258284681144,32.60201915569511,25.48898699075196,b_restrictive_prior,NA,0.3620918322961969,-0.6017406686407334,0
25.935196921282365,20.031138935572947,32.63711766686203,25.48898699075196,b_info_prior_gam,NA,0.19910330210394828,0.4462099305304043,4
25.668215330624346,0,0,25.48898699075196,f,NA,0.03212279781340974,0.17922833987238107,0
31.753279386631903,24.48092874036192,39.274447979827634,25.48898699075196,b_info_prior_norm,NA,39.2413592210793,6.264292395879945,0
29.47199686020733,23.16253274289045,36.35392297545406,25.48898699075196,b_flat_prior,NA,15.864367620178877,3.983009869455369,3
32.13338309587997,24.203498542770735,40.088499985448614,25.48898699075196,b_restrictive_prior,NA,44.14799960184027,6.64439610512801,0
29.58016787618247,23.39650606718871,37.79605203243966,25.48898699075196,b_info_prior_gam,NA,16.737761037311948,4.091180885430507,2
29.106536627101924,0,0,25.48898699075196,f,NA,13.086665371455751,3.6175496363499633,0
22.80945607124693,15.499810857180144,30.50697669942451,25.48898699075196,b_info_prior_norm,NA,7.179885948583472,-2.67953091950503,0
26.299105139163615,19.81706167569126,32.337101470039045,25.48898699075196,b_flat_prior,NA,0.6562914143859262,0.8101181484116537,4
21.92640987825344,14.344716613430146,29.96010888325762,25.48898699075196,b_restrictive_prior,NA,12.691955682498293,-3.56257711249852,0
26.534050935593154,20.066217607784623,32.832230653933976,25.48898699075196,b_info_prior_gam,NA,1.0921586488070354,1.0450639448411927,0
27.35949200544762,0,0,25.48898699075196,f,NA,3.4987890100016092,1.8705050146956592,0
